Drug	Species	Conc_ug_ml	chemical_name	prestwick_ID	molecular_weight	Conc_uM	likely_qualifier
Amikacin	Acinetobacter anitratus	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Acinetobacter baumannii	4	Amikacin	Prestw-395	621.64439	6.434546928027453	=
Amikacin	Acinetobacter calcoaceticus	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Acinetobacter lwoffii	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Citrobacter freundii	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Citrobacter koseri	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Enterobacter aerogenes	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Enterobacter amnigenus	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Enterobacter asburiae	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Enterobacter cancerogenus	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Enterobacter cloacae	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Enterobacter gergoviae	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Enterobacter hormaechei	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Enterobacter intermedium	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Enterobacter sakazakii	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Escherichia coli	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Haemophilus influenzae	8	Amikacin	Prestw-395	621.64439	12.869093856054906	=
Amikacin	Klebsiella oxytoca	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Klebsiella pneumoniae	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Klebsiella spp	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Lactobacillus reuteri	16	Amikacin	Prestw-395	621.64439	25.738187712109813	=
Amikacin	Lactobacillus spp	16	Amikacin	Prestw-395	621.64439	25.738187712109813	=
Amikacin	Morganella morganii	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Mycobacterium tuberculosis	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Proteus mirabilis	4	Amikacin	Prestw-395	621.64439	6.434546928027453	=
Amikacin	Proteus spp	0.5	Amikacin	Prestw-395	621.64439	0.8043183660034317	<
Amikacin	Proteus vulgaris	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Providencia stuartii	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Pseudomonas aeruginosa	4	Amikacin	Prestw-395	621.64439	6.434546928027453	=
Amikacin	Salmonella spp	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Serratia liquefaciens	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Serratia marcescens	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Serratia spp	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Staphylococcus aureus	4	Amikacin	Prestw-395	621.64439	6.434546928027453	=
Amikacin	Staphylococcus capitis	0.5	Amikacin	Prestw-395	621.64439	0.8043183660034317	<
Amikacin	Staphylococcus coagulase negative	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Staphylococcus epidermidis	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Staphylococcus haemolyticus	4	Amikacin	Prestw-395	621.64439	6.434546928027453	=
Amikacin	Staphylococcus hominis	2	Amikacin	Prestw-395	621.64439	3.2172734640137266	=
Amikacin	Staphylococcus warneri	1	Amikacin	Prestw-395	621.64439	1.6086367320068633	=
Amikacin	Stenotrophomonas maltophilia	256	Amikacin	Prestw-395	621.64439	411.811003393757	>
Amoxicillin	Actinomyces israelii	0.25	Amoxicillin	Prestw-357	365.41093	0.6841612537424646	=
Amoxicillin	Actinomyces spp	0.25	Amoxicillin	Prestw-357	365.41093	0.6841612537424646	=
Amoxicillin	Anaerobic cocci Gram positive	0.064	Amoxicillin	Prestw-357	365.41093	0.17514528095807097	=
Amoxicillin	Bacteroides fragilis	32	Amoxicillin	Prestw-357	365.41093	87.57264047903547	=
Amoxicillin	Bacteroides fragilis group	32	Amoxicillin	Prestw-357	365.41093	87.57264047903547	=
Amoxicillin	Bacteroides thetaiotaomicron	32	Amoxicillin	Prestw-357	365.41093	87.57264047903547	=
Amoxicillin	Campylobacter coli	4	Amoxicillin	Prestw-357	365.41093	10.946580059879434	=
Amoxicillin	Campylobacter jejuni	8	Amoxicillin	Prestw-357	365.41093	21.893160119758868	=
Amoxicillin	Citrobacter spp	128	Amoxicillin	Prestw-357	365.41093	350.2905619161419	=
Amoxicillin	Clostridium difficile	1	Amoxicillin	Prestw-357	365.41093	2.7366450149698585	=
Amoxicillin	Clostridium perfringens	0.064	Amoxicillin	Prestw-357	365.41093	0.17514528095807097	=
Amoxicillin	Enterobacter aerogenes	256	Amoxicillin	Prestw-357	365.41093	700.5811238322838	=
Amoxicillin	Enterobacter agglomerans	8	Amoxicillin	Prestw-357	365.41093	21.893160119758868	=
Amoxicillin	Enterobacter cloacae	256	Amoxicillin	Prestw-357	365.41093	700.5811238322838	=
Amoxicillin	Enterobacter dissolvens	256	Amoxicillin	Prestw-357	365.41093	700.5811238322838	=
Amoxicillin	Enterobacter spp	8	Amoxicillin	Prestw-357	365.41093	21.893160119758868	=
Amoxicillin	Escherichia coli	8	Amoxicillin	Prestw-357	365.41093	21.893160119758868	=
Amoxicillin	Fusobacterium spp	0.064	Amoxicillin	Prestw-357	365.41093	0.17514528095807097	=
Amoxicillin	Haemophilus influenzae	0.5	Amoxicillin	Prestw-357	365.41093	1.3683225074849292	=
Amoxicillin	Haemophilus parainfluenzae	0.25	Amoxicillin	Prestw-357	365.41093	0.6841612537424646	=
Amoxicillin	Helicobacter pylori	0.016	Amoxicillin	Prestw-357	365.41093	0.04378632023951774	=
Amoxicillin	Klebsiella oxytoca	128	Amoxicillin	Prestw-357	365.41093	350.2905619161419	=
Amoxicillin	Klebsiella pneumoniae	128	Amoxicillin	Prestw-357	365.41093	350.2905619161419	=
Amoxicillin	Klebsiella spp	32	Amoxicillin	Prestw-357	365.41093	87.57264047903547	=
Amoxicillin	Legionella pneumophila	2	Amoxicillin	Prestw-357	365.41093	5.473290029939717	=
Amoxicillin	Moraxella catarrhalis	16	Amoxicillin	Prestw-357	365.41093	43.786320239517735	=
Amoxicillin	Morganella morganii	128	Amoxicillin	Prestw-357	365.41093	350.2905619161419	=
Amoxicillin	Neisseria meningitidis	0.125	Amoxicillin	Prestw-357	365.41093	0.3420806268712323	=
Amoxicillin	Pasteurella multocida	0.25	Amoxicillin	Prestw-357	365.41093	0.6841612537424646	=
Amoxicillin	Porphyromonas spp	0.064	Amoxicillin	Prestw-357	365.41093	0.17514528095807097	=
